"County","Searches","Impressions","Clicks","Leads","Calls","CTR","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound","Bound CVR","Bound CPA","Bound Rev","Contacted","Contacted CVR","Contacted CPA","Contacted Rev","Quote","Quote CVR","Quote CPA","Quote Rev"
"GREENE","10","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.21","4.70","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"TERRELL","6","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.22","4.83","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"MORGAN","7","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.30","4.57","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"UPSON","17","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.31","4.17","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"MONTGOMERY","3","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.77","3.33","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"OCONEE","6","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.77","2.66","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"MCDUFFIE","14","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.18","3.71","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"GILMER","10","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.89","5.20","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"TAYLOR","4","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.79","4.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"DODGE","10","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.21","4.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"WHEELER","3","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.77","5.33","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"BRYAN","21","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.19","4.09","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"WARREN","3","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.77","2.66","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"STEPHENS","22","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.74","4.09","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"BANKS","3","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.68","7.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"LANIER","3","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.68","5.33","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"MILLER","12","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.36","4.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"JOHNSON","5","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.11","5.20","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"TREUTLEN","2","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.95","7.50","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"PICKENS","15","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.61","4.46","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"MARION","1","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.77","5.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"--","4,711","421 (8.94%)","95","68","8","22.56%","$754.41","$7.94","$8.95","4.38","2.01%","0","0%","$0.00","$0.00","4","4.211%","$188.60","$0.00","2","2.105%","$377.21","$0.00"
