"County","Searches","Impressions","CTR","Clicks","Calls","Leads","Contacted","Quote","Bound","Contacted CVR","Quote CVR","Bound CVR","Contacted CPA","Quote CPA","Bound CPA","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound Rev","Contacted Rev","Quote Rev"
"HARRIS","28","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.02","4.35","0%","$0.00","$0.00","$0.00"
"TREUTLEN","6","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.49","4.16","0%","$0.00","$0.00","$0.00"
"TELFAIR","7","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.51","5.14","0%","$0.00","$0.00","$0.00"
"TERRELL","9","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.04","5.44","0%","$0.00","$0.00","$0.00"
"TURNER","10","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.62","3.00","0%","$0.00","$0.00","$0.00"
"RABUN","9","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.58","3.77","0%","$0.00","$0.00","$0.00"
"WILKES","3","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.77","4.33","0%","$0.00","$0.00","$0.00"
"JONES","14","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.88","4.07","0%","$0.00","$0.00","$0.00"
"CRAWFORD","4","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.95","5.25","0%","$0.00","$0.00","$0.00"
"CHATTAHOOCHEE","5","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.46","5.00","0%","$0.00","$0.00","$0.00"
"GLASCOCK","3","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.68","5.00","0%","$0.00","$0.00","$0.00"
"WHEELER","5","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.77","3.60","0%","$0.00","$0.00","$0.00"
"HEARD","8","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.67","4.50","0%","$0.00","$0.00","$0.00"
"TAYLOR","10","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.98","3.10","0%","$0.00","$0.00","$0.00"
"CALHOUN","2","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.77","5.00","0%","$0.00","$0.00","$0.00"
"WARREN","7","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.30","5.28","0%","$0.00","$0.00","$0.00"
"BACON","17","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.02","3.88","0%","$0.00","$0.00","$0.00"
"--","8,301","921 (11.10%)","23.88%","220","20","162","18","7","2","8.182%","3.182%","0.909%","$101.83","$261.85","$916.46","$1,832.92","$8.33","$8.98","4.05","2.65%","$0.00","$0.00","$0.00"
